epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-27 18:07:06,0,0,0,0,107.94,47,0
0,2023-02-27 18:07:33,4.630665,0.04543,4.062093,0.099359,139.07,50,0
1,2023-02-27 18:07:52,3.93836,0.106928,4.061667,0.130409,181.55,55,0
2,2023-02-27 18:08:10,3.623642,0.154811,3.448046,0.210337,183.96,57,0
3,2023-02-27 18:08:29,3.35308,0.20417,3.149102,0.254006,182.47,57,0
4,2023-02-27 18:08:48,3.098341,0.246696,2.943277,0.305489,184.67,58,0
5,2023-02-27 18:09:06,2.855912,0.296481,2.657394,0.348157,184.96,59,0
6,2023-02-27 18:09:25,2.626712,0.342786,2.780344,0.371995,190.79,59,0
7,2023-02-27 18:09:43,2.418998,0.381783,2.393286,0.394832,189.21,60,0
8,2023-02-27 18:10:01,2.169111,0.442106,2.258354,0.479167,187.30,60,0
9,2023-02-27 18:10:21,1.966453,0.484481,2.054943,0.522035,188.64,60,0
10,2023-02-27 18:10:39,1.653322,0.558495,1.929711,0.54387,190.62,60,0
11,2023-02-27 18:10:58,1.408153,0.616465,1.881318,0.603966,191.29,60,0
12,2023-02-27 18:11:16,1.180256,0.677888,1.254103,0.691707,191.45,60,0
13,2023-02-27 18:11:35,1.046901,0.7101,1.336302,0.639623,186.93,60,0
14,2023-02-27 18:11:52,0.786184,0.780286,1.230749,0.711138,183.42,60,0
15,2023-02-27 18:12:10,0.802441,0.7729,1.042197,0.729968,187.19,60,0
16,2023-02-27 18:12:29,0.632288,0.822011,1.160189,0.794498,190.79,60,0
17,2023-02-27 18:12:47,0.506901,0.853925,0.688988,0.79288,180.32,59,0
18,2023-02-27 18:13:06,0.440258,0.871975,1.330686,0.744992,180.35,59,0
19,2023-02-27 18:13:24,0.415172,0.878805,0.977522,0.771034,186.14,59,0
20,2023-02-27 18:13:44,0.438959,0.872197,0.781321,0.776042,183.49,59,0
21,2023-02-27 18:14:02,0.392942,0.88405,0.678743,0.813101,183.26,59,0
22,2023-02-27 18:14:21,0.349848,0.896751,0.631553,0.81871,182.97,59,0
23,2023-02-27 18:14:40,0.329434,0.902758,0.548089,0.850561,183.89,59,0
24,2023-02-27 18:14:58,0.278897,0.914723,0.499231,0.858774,182.54,59,0
25,2023-02-27 18:15:17,0.351028,0.895124,0.553341,0.836138,185.30,59,0
26,2023-02-27 18:15:36,0.273774,0.916074,0.610121,0.847155,189.17,59,0
27,2023-02-27 18:15:54,0.283589,0.914322,0.642659,0.842548,185.90,59,0
28,2023-02-27 18:16:13,0.320197,0.905286,1.584682,0.778245,178.93,59,0
29,2023-02-27 18:16:32,0.239198,0.928064,0.410856,0.878205,182.11,59,0
30,2023-02-27 18:16:50,0.339336,0.903259,0.962263,0.818109,188.82,59,0
31,2023-02-27 18:17:09,0.246414,0.926812,0.467484,0.891827,180.46,59,0
32,2023-02-27 18:17:27,0.171068,0.951617,0.532085,0.864784,189.32,59,0
33,2023-02-27 18:17:45,0.220443,0.93352,0.588998,0.865385,185.77,60,0
34,2023-02-27 18:18:03,0.254549,0.925761,0.660762,0.837139,189.20,60,0
35,2023-02-27 18:18:21,0.23654,0.928364,0.348114,0.890825,188.80,60,0
36,2023-02-27 18:18:40,0.184845,0.944058,0.555047,0.883614,189.71,60,0
37,2023-02-27 18:18:59,0.213924,0.935823,0.457091,0.874599,186.53,60,0
38,2023-02-27 18:19:15,0.196607,0.942005,0.281813,0.917067,190.45,60,0
39,2023-02-27 18:19:33,0.138724,0.956147,1.184601,0.80028,185.65,60,0
40,2023-02-27 18:19:52,0.230775,0.928189,0.492785,0.877204,186.60,59,0
41,2023-02-27 18:20:10,0.181487,0.947487,0.48421,0.896835,181.53,59,0
42,2023-02-27 18:20:29,0.194215,0.941505,0.454629,0.878005,179.98,59,0
43,2023-02-27 18:20:47,0.118821,0.9644,0.329705,0.905649,181.94,59,0
44,2023-02-27 18:21:04,0.162474,0.9513,0.316381,0.916066,190.69,60,0
45,2023-02-27 18:21:23,0.195154,0.94165,0.354981,0.901042,182.34,59,0
46,2023-02-27 18:21:41,0.124781,0.96228,0.359641,0.909655,189.95,60,0
47,2023-02-27 18:21:59,0.1465,0.955221,0.506182,0.906851,189.35,59,0
48,2023-02-27 18:22:17,0.197416,0.941705,0.466597,0.882612,184.59,59,0
49,2023-02-27 18:22:36,0.17468,0.9479,0.323688,0.90605,181.00,59,0
post,2023-02-27 18:22:41,0,0,0,0,109.64,53,0
