run,model,preprocessing,augmentation,precision,batch_size,partitioning,lr,lr_schedule,optimizer_momentum,optimizer,internal,n_parameters,test_accuracy,last_accuracy,last_val_accuracy,avg_gpu_power_watts
001,resnet50,None,None,float16,1,60-20-20,0.01,constant,0.0,RMSProp,None,23792612,0.01,0.01,0.012,117.84519230769226
002,resnet50,minmax,None,float16,64,70-15-15,0.00625,exponential,0.0,Adam,None,23792612,0.888,0.975034,0.88515,139.57480769230767
003,resnet50,robust_scaling,mixup,float64,64,90-5-5,0.00015,cosine,0.9,AdamW,None,23792612,0.01,0.009812,0.011218,130.39230769230767
004,resnet50,None,None,float64,32,80-10-10,0.00015,polynomial,0.0,AdamW,None,23792612,0.01,0.073554,0.013822,130.55519230769235
005,resnet50,standardization,mixup,global_policy_float16,4,60-20-20,0.00625,constant,0.5,SGD,jit_compilation,23792612,0.102,0.115267,0.1048,118.10096153846153
006,resnet50,standardization,mixup,float16,32,80-10-10,0.01,exponential,0.9,Adam,post_quantization,23792612,0.45,0.426671,0.461939,129.19576923076923
007,resnet50,None,cutmix,float16,4,70-15-15,0.0008,constant,0.5,RMSProp,jit_compilation,23792612,0.023,0.074257,0.0192,118.87000000000005
008,resnet50,None,random,float32,4,80-10-10,0.01,constant,0.99,AdamW,jit_compilation,23792612,0.012,0.010175,0.0092,128.0475
009,resnet50,standardization,cutmix,global_policy_float16,64,70-15-15,0.0008,constant,0.99,Adam,None,23792612,0.447,0.421018,0.445913,123.16980769230767
010,resnet50,standardization,mixup,float64,64,60-20-20,0.01,cosine,0.99,Adam,post_quantization,23846055,0.009,0.055137,0.052985,134.60500000000002
011,resnet50,robust_scaling,random,float32,32,60-20-20,0.00625,cosine,0.5,SGD,jit_compilation,23792612,0.127,0.124099,0.122492,130.51480769230773
012,resnet50,standardization,cutmix,float16,64,80-10-10,0.01,exponential,0.5,Adam,None,23792612,0.332,0.3084,0.335537,136.79807692307685
013,resnet50,minmax,mixup,float64,64,60-20-20,0.01,exponential,0.0,Adam,pre_quantization,23846055,0.007,0.011027,0.010116,140.12596153846152
014,resnet50,minmax,None,global_policy_float16,32,70-15-15,0.01,exponential,0.0,Adam,None,23792612,0.906,0.995428,0.910657,119.07076923076926
015,resnet50,minmax,cutmix,float16,32,90-5-5,0.0008,cosine,0.9,RMSProp,post_quantization,23846055,0.009,0.031773,0.039663,130.2965384615384
016,resnet50,None,mixup,global_policy_float16,64,70-15-15,0.00015,polynomial,0.99,SGD,post_quantization,23792612,0.753,0.698012,0.755475,124.48653846153844
017,resnet50,robust_scaling,mixup,global_policy_float16,128,70-15-15,0.00625,exponential,0.0,Adam,None,23792612,0.617,0.666552,0.606142,127.2286538461538
018,resnet50,robust_scaling,mixup,float32,128,60-20-20,0.00015,constant,0.99,Adam,jit_compilation,23792612,0.818,0.825976,0.813602,178.43192307692308
019,resnet50,robust_scaling,cutmix,float64,128,70-15-15,0.00015,polynomial,0.99,SGD,pre_quantization,23846055,0.141,0.140847,0.143588,146.26134615384615
020,resnet50,minmax,cutmix,float16,32,90-5-5,0.01,cosine,0.0,AdamW,post_quantization,23846055,0.008,0.010228,0.011218,135.9473076923077
021,resnet50,minmax,random,float16,64,90-5-5,0.01,polynomial,0.99,SGD,jit_compilation,23792612,0.059,0.069887,0.059696,155.97711538461542
022,resnet50,minmax,None,float16,32,70-15-15,0.01,exponential,0.9,AdamW,jit_compilation,23792612,0.013,0.126372,0.013488,160.34423076923076
023,resnet50,minmax,mixup,global_policy_float16,32,80-10-10,0.0008,cosine,0.5,Adam,post_quantization,23792612,0.128,0.1248,0.134014,121.52269230769228
024,resnet50,minmax,random,float64,128,90-5-5,0.0008,constant,0.0,AdamW,jit_compilation,23792612,0.06,0.445521,0.065378,161.6096153846154
025,resnet50,standardization,mixup,global_policy_float16,32,60-20-20,0.00625,exponential,0.0,RMSProp,post_quantization,23792612,0.484,0.453984,0.478933,122.14461538461536
026,resnet50,robust_scaling,cutmix,float32,128,70-15-15,0.00625,polynomial,0.0,AdamW,jit_compilation,23792612,0.018,0.216959,0.019262,145.92403846153843
027,resnet50,minmax,None,global_policy_float16,64,80-10-10,0.00625,polynomial,0.0,Adam,post_quantization,23792612,0.682,0.960625,0.69391,120.74807692307695
028,resnet50,robust_scaling,None,float64,128,60-20-20,0.01,cosine,0.5,Adam,None,23792612,0.098,0.096843,0.099559,191.57884615384611
