                      OLS Regression Results                     
Dep. Variable:   ,power_draw      ,  R-squared:         ,   0.949
Model:           ,OLS             ,  Adj. R-squared:    ,   0.918
Method:          ,Least Squares   ,  F-statistic:       ,   30.31
Date:            ,Mon, 20 Mar 2023,  Prob (F-statistic):,1.38e-22
Time:            ,20:22:19        ,  Log-Likelihood:    , -89.134
No. Observations:,    80          ,  AIC:               ,   240.3
Df Residuals:    ,    49          ,  BIC:               ,   314.1
Df Model:        ,    30          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
                               ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
preprocessing_None             ,    0.5419,    0.198,    2.738, 0.009,    0.144,    0.940
preprocessing_minmax           ,    0.2011,    0.235,    0.855, 0.397,   -0.272,    0.674
preprocessing_robust_scaling   ,    0.5264,    0.261,    2.017, 0.049,    0.002,    1.051
preprocessing_standardization  ,    0.2942,    0.271,    1.085, 0.283,   -0.251,    0.839
augmentation_None              ,    0.1657,    0.223,    0.741, 0.462,   -0.283,    0.615
augmentation_cutmix            ,    0.2698,    0.241,    1.122, 0.267,   -0.214,    0.753
augmentation_mixup             ,    0.5425,    0.212,    2.555, 0.014,    0.116,    0.969
augmentation_random            ,    0.5856,    0.249,    2.356, 0.023,    0.086,    1.085
batch_size_4                   ,    6.5146,    0.246,   26.450, 0.000,    6.020,    7.010
batch_size_32                  ,   -1.2714,    0.236,   -5.396, 0.000,   -1.745,   -0.798
batch_size_64                  ,   -1.6120,    0.209,   -7.699, 0.000,   -2.033,   -1.191
batch_size_128                 ,   -2.0676,    0.256,   -8.077, 0.000,   -2.582,   -1.553
lr_0.00015                     ,    0.1904,    0.227,    0.840, 0.405,   -0.265,    0.646
lr_0.0008                      ,    0.6091,    0.237,    2.575, 0.013,    0.134,    1.084
lr_0.00625                     ,    0.4455,    0.208,    2.144, 0.037,    0.028,    0.863
lr_0.01                        ,    0.3187,    0.250,    1.277, 0.208,   -0.183,    0.820
lr_schedule_constant           ,    0.1945,    0.235,    0.826, 0.413,   -0.279,    0.668
lr_schedule_cosine             ,    0.3099,    0.248,    1.251, 0.217,   -0.188,    0.808
lr_schedule_exponential        ,    0.8238,    0.211,    3.905, 0.000,    0.400,    1.248
lr_schedule_polynomial         ,    0.2355,    0.263,    0.895, 0.375,   -0.293,    0.764
partitioning_60-20-20          ,    0.0905,    0.253,    0.357, 0.722,   -0.418,    0.599
partitioning_70-15-15          ,    0.2741,    0.224,    1.225, 0.226,   -0.175,    0.724
partitioning_80-10-10          ,    0.6524,    0.199,    3.274, 0.002,    0.252,    1.053
partitioning_90-5-5            ,    0.5466,    0.257,    2.123, 0.039,    0.029,    1.064
optimizer_Adam                 ,    0.3701,    0.195,    1.899, 0.063,   -0.022,    0.762
optimizer_AdamW                ,    0.5108,    0.229,    2.233, 0.030,    0.051,    0.970
optimizer_RMSProp              ,    0.2901,    0.273,    1.061, 0.294,   -0.259,    0.839
optimizer_SGD                  ,    0.3925,    0.225,    1.747, 0.087,   -0.059,    0.844
optimizer_momentum_0.0         ,    0.7469,    0.215,    3.466, 0.001,    0.314,    1.180
optimizer_momentum_0.5         ,    0.0829,    0.237,    0.349, 0.729,   -0.394,    0.560
optimizer_momentum_0.9         ,    0.1658,    0.206,    0.806, 0.424,   -0.247,    0.579
optimizer_momentum_0.99        ,    0.5681,    0.245,    2.323, 0.024,    0.077,    1.060
internal_None                  ,   -0.5145,    0.250,   -2.057, 0.045,   -1.017,   -0.012
internal_jit_compilation       ,   -0.9719,    0.269,   -3.611, 0.001,   -1.513,   -0.431
internal_post_quantization     ,   -0.3508,    0.247,   -1.419, 0.162,   -0.847,    0.146
internal_pre_quantization      ,    3.4008,    0.550,    6.184, 0.000,    2.296,    4.506
precision_float16              ,    0.5011,    0.283,    1.770, 0.083,   -0.068,    1.070
precision_float32              ,    0.3920,    0.300,    1.308, 0.197,   -0.210,    0.994
precision_float64              ,    0.6261,    0.209,    2.995, 0.004,    0.206,    1.046
precision_global_policy_float16,    0.0444,    0.229,    0.193, 0.848,   -0.417,    0.505
Omnibus:      ,14.156,  Durbin-Watson:     ,   2.030
Prob(Omnibus):, 0.001,  Jarque-Bera (JB):  ,  54.543
Skew:         ,-0.122,  Prob(JB):          ,1.43e-12
Kurtosis:     , 7.038,  Cond. No.          ,1.72e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 7.15e-31. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
